rainfall_intensity,cumulative_rainfall,occurrences,pixel
34.62727865,103.8818359,0,2_18
20.87402344,20.87402344,0,2_18
13.256073,53.02429199,0,2_18
17.31872559,34.63745117,0,2_18
25.58898926,25.58898926,0,2_18
19.45495605,19.45495605,0,2_18
12.50457764,12.50457764,0,2_18
16.69311523,66.77246094,0,2_18
13.8168335,13.8168335,0,2_18
11.69586182,11.69586182,0,2_18
37.41455078,37.41455078,0,2_18
23.54431152,23.54431152,0,2_18
34.08813477,34.08813477,0,2_18
14.3737793,28.74755859,0,2_18
10.26153564,10.26153564,0,2_18
14.087677,28.175354,0,2_18
20.99609375,20.99609375,0,2_18
18.12744141,36.25488281,0,2_18
14.03045654,14.03045654,0,2_18
36.70501709,73.41003418,0,2_18
19.04296875,57.12890625,0,2_18
15.71273804,31.42547607,0,2_18
23.84567261,95.38269043,0,2_18
17.53234863,17.53234863,0,2_18
11.33346558,22.66693115,0,2_18
14.67132568,29.34265137,0,2_18
33.26416016,33.26416016,0,2_18
35.18676758,35.18676758,0,2_18
10.4675293,10.4675293,0,2_18
18.34106445,18.34106445,0,2_18
17.45605469,17.45605469,0,2_18
16.69311523,16.69311523,0,2_18
17.68493652,17.68493652,0,2_18
10.4675293,10.4675293,0,2_18
23.5748291,47.1496582,0,2_18
36.28540039,36.28540039,0,2_18
41.62597656,41.62597656,0,2_18
19.9025472,59.7076416,0,2_18
28.30505371,28.30505371,0,2_18
12.30621338,12.30621338,0,2_18
11.21520996,11.21520996,0,2_18
20.61462402,41.22924805,0,2_18
25.36773682,50.73547363,0,2_18
16.98303223,16.98303223,0,2_18
21.3470459,42.6940918,0,2_18
20.41625977,40.83251953,0,2_18
11.96289063,11.96289063,0,2_18
14.2364502,14.2364502,0,2_18
27.49633789,27.49633789,0,2_18
11.06643677,22.13287354,0,2_18
17.56286621,17.56286621,0,2_18
22.36938477,22.36938477,0,2_18
59.32617188,59.32617188,0,2_18
20.81680298,41.63360596,0,2_18
43.51806641,43.51806641,0,2_18
15.99121094,15.99121094,0,2_18
30.88760376,185.3256226,0,2_18
19.41935221,58.25805664,0,2_18
12.29095459,12.29095459,0,2_18
18.47839355,18.47839355,0,2_18
16.78848267,33.57696533,0,2_18
18.61572266,18.61572266,0,2_18
22.36938477,44.73876953,0,2_18
11.13891602,22.27783203,0,2_18
10.81848145,10.81848145,0,2_18
24.36319987,73.08959961,0,2_18
15.29312134,30.58624268,0,2_18
15.7623291,15.7623291,0,2_18
26.26037598,26.26037598,0,2_18
26.21459961,78.64379883,0,2_18
26.97143555,134.8571777,0,2_18
13.64898682,27.29797363,0,2_18
86.36474609,86.36474609,0,2_18
27.43721008,109.7488403,0,2_18
29.75463867,59.50927734,0,2_18
21.72851563,21.72851563,0,2_18
11.78741455,23.5748291,0,2_18
13.01193237,26.02386475,0,2_18
18.15795898,72.63183594,0,2_18
12.17269897,24.34539795,0,2_18
10.21575928,10.21575928,0,2_18
12.550354,25.10070801,0,2_18
15.23590088,30.47180176,0,2_18
33.26416016,33.26416016,0,2_18
20.01953125,20.01953125,0,2_18
30.92956543,30.92956543,0,2_18
19.3862915,38.77258301,0,2_18
20.7824707,20.7824707,0,2_18
20.03479004,20.03479004,0,2_18
20.3704834,20.3704834,0,2_18
12.45880127,12.45880127,0,2_18
22.61734009,45.23468018,0,2_18
